data,language
ABHA (স্বাস্থ্য আইডি) ব্যবহার করা আপনার এবং আপনার পরিবারের জন্য নিরাপদ এবং এটি দক্ষ ডিজিটাল স্বাস্থ্য রেকর্ড তৈরি করার জন্য প্রথম পদক্ষেপ।,bn
"এটি অংশগ্রহণকারী স্বাস্থ্যসেবা প্রদানকারীদের সাথে আপনার মিথস্ক্রিয়াকে সক্ষম করে এবং আপনাকে আপনার ডিজিটাল ল্যাব রিপোর্ট, প্রেসক্রিপশন এবং নির্ণয়ের যাচাইকৃত স্বাস্থ্যসেবা পেশাদার এবং স্বাস্থ্য পরিষেবা প্রদানকারীদের কাছ থেকে নির্বিঘ্নে পেতে অনুমতি দেয়।",bn
"পশান অভিযান হ'ল শিশু, কিশোর, গর্ভবতীদের পুষ্টির ফলাফল উন্নত করার জন্য ভারতের এক নিজস্ব কর্মসূচি।",bn
পশান ট্র্যাকার চালু করার উদ্দেশ্য কী?,bn
"পশান ট্র্যাকার অ্যাপ্লিকেশনটির উদ্দেশ্য হ'ল অঙ্গনবাদী কেন্দ্রের (AWC) কার্যক্রমের ৩৬০ ডিগ্রি ভিউ, অঙ্গনওয়াড়ি কর্মীদের সেবা সরবরাহ এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা ও শিশুদের জন্য সম্পূর্ণ উপকারভোগী ব্যবস্থাপনার ব্যবস্থা করা।",bn
"প্রস্তাবিত সিস্টেমে নির্ধারিত সূচকগুলিতে সমস্ত AWC, AWW এবং সুবিধাভোগীদের রিয়েল-টাইম মনিটরিং এবং ট্র্যাকিং সক্ষম করতে হবে।",bn
কীভাবে একজন পশান ট্র্যাকার অ্যাপ্লিকেশন ডাউনলোড করতে পারেন?,bn
"না , পশান ট্র্যাকারস অ্যাপটি শুধুমাত্র অ্যান্ড্রয়েড ভার্সানের জন্য উপলব্ধ।",bn
মোবাইলে পশান ট্র্যাকার অ্যাপটি ইনস্টল করার জন্য ন্যূনতম প্রয়োজনীয়তা কী?,bn
পশান ট্র্যাকার অ্যাপটি কেবল ৬.০ এবং তারপরের অ্যান্ড্রয়েড ভার্সানের অ্যান্ড্রয়েড ফোনে ইনস্টল করা যেতে পারে।,bn
একটি AWW একটি AWC থেকে অন্য AWC-তে তাদের আধার নম্বরের ভিত্তিতে স্থানান্তর করতে 'মাইগ্রেট বেনিফিশিয়ারি' বিকল্প ব্যবহার করতে পারেন।,bn
একজন সুবিধাভোগীর কি যোগ্যতা থাকতে হবে?,bn
একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য THR পাওয়ার যোগ্য।,bn
কে বাড়িতে নিয়ে যাওয়ার জন্য রেশনের পাওয়ার যোগ্য?,bn
"গর্ভবতী মহিলা, স্তন্যদানকারী মা, 6 মাস থেকে 3 বছর বয়সী শিশু এবং কিশোরী মেয়েরা।",bn
বাড়িতে নিয়ে যাওয়ার জন্য রেশনের ব্যাপারে আমি কোথায় জিজ্ঞাসা করতে পারি?,bn
অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কর্মীর সাথে যোগাযোগ করুন।,bn
কারা অতিরিক্ত সম্পূরক খাদ্য পাওয়ার জন্য যোগ্য।,bn
যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হয়েছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওয়ার যোগ্য।,bn
একজন সুবিধাভোগী মাসে অন্তত 21 দিনের জন্য HCM পাওয়ার যোগ্য।,bn
কারা গরম রান্না করা খাবারের জন্য যোগ্য?,bn
অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওয়াড়ি কেন্দ্রে যোগাযোগ করুন।,bn
কে অতিরিক্ত সম্পূরক খাদ্য পাওয়ার যোগ্য?,bn
এটি কেন্দ্রীভূত ডেটা আর্কিটেকচার ব্যবহার করে তৈরি করা হয়েছে যা অন্যান্য মন্ত্রণালয় এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমের সাথে সারিবদ্ধ।,bn
"উদ্দেশ্য হল অঙ্গনওয়াড়ি কেন্দ্রের (AWC), অঙ্গনওয়াড়ি কর্মীদের (AWWs) পরিষেবা প্রদান এবং গর্ভবতী মহিলাদের, স্তন্যদানকারী মা এবং শিশুদের জন্য সম্পূর্ণ সুবিধাভোগী ব্যবস্থাপনার 360-ডিগ্রি ভিউ প্রদান করা।",bn
"স্বাস্থ্য সূচক যেমন স্টান্টিং, ওয়েস্টিং এবং কম ওজনের প্রাদুর্ভাব WHO-এর মান অনুযায়ী পরিমাপ করা হয়।",bn
